,PC1,PC2,PC3
VNM,0.020722350005542928,-0.022223425208493134,-0.09648814099920304
VOS,0.06616967468870215,-0.014742913696061243,0.019730346198056508
VPB,0.0552836472256441,0.05367513135260086,-0.06569036633930184
VPD,-0.05575956111946821,0.03180742120397935,-0.011290064499210587
VPG,0.06721810441482856,-0.026628959756810327,0.0560803656827864
VPI,0.042882177449820244,-0.06869560857775645,0.08854176190032034
VRC,0.06807935504883969,-0.014782584236614518,-0.06529669266151443
VRE,0.046315514993140565,-0.03903453832332425,-0.13001892105801707
VSC,0.06164799846756697,-0.036923727632316675,0.04445542942062884
VSH,-0.017268334383412843,0.0933444432817645,0.10710024755246973
VTB,0.030638426546726442,-0.07108335577475727,-0.043075393077897484
VTO,0.05496916636043128,0.0571964405295169,-0.08501408916931771
VTP,0.05572219767713877,0.0536192022374744,0.09817125240306072
YBM,0.055062170390001886,0.0723732879324474,0.039037335416310145
YEG,0.06641319829819826,0.009362991412089879,0.014318144871476438
