,PC1,PC2,PC3,PC4,PC5,PC6
ITD,0.04380403251521466,-0.015696930012214404,-0.1387591689051227,0.031669935586704216,-0.12866849623656987,0.0285340376060281
JVC,0.0674381869592338,-0.030818897071048953,0.013431284330766407,0.06168864278058481,-0.013692248127047441,0.006836042933354519
KBC,0.06289558646602814,0.04299857570779431,0.015148902537529757,0.040059787817520766,-0.001281671565983346,0.015314271515141439
KDC,-0.010635507782475837,-0.02040449672637563,0.13908769724105519,0.06957629959370298,0.20976958288126457,0.024283816053655673
KHG,0.06830608789951748,-0.011274041045560361,0.04021626668439532,0.044370004825546976,0.03361388678214879,-0.024364833595575383
KHP,0.06643533692617609,0.02805421867655637,-0.04880984041582098,0.024346273889474614,-0.005412979623078256,-0.014906574796592739
KMR,0.06814905352283462,-0.004943096190699058,0.02559517133108844,0.06302523454509167,-0.04040376318676618,-0.02559043203877101
KOS,-0.04401739476593008,0.08306521583664872,-0.011312875830416477,0.04322519897121102,0.010194851428131663,0.010293600018030534
KSB,0.06192672102391561,0.042464185976021265,-0.05134597763536305,0.05713449083868093,-0.0667014871121809,0.026352521291394065
LBM,0.061906303983626544,-0.047412100572633065,0.05783152416951253,-0.01588927420606726,0.05342739561360422,-0.020852496891209035
LCG,0.04755993895192235,0.06956529969370405,-0.09601790706755783,0.07003549607726466,-0.037525180396088965,0.01647477529866614
LDG,0.06438094000173904,-0.05506317661758558,0.003525955769579877,0.03454591338483258,-0.00785342220229779,-0.00961863789174144
LGL,0.07087666638236555,-0.004111835080402694,-0.015448344051772487,0.02351937601621256,0.007632445108507357,-0.020717922005196076
LHG,0.0685919370724258,0.027317601025847023,-0.017559005161570763,-0.024099252314402755,-0.014793808377435706,0.03356062740721099
LIX,0.06031526768124517,-0.04141417918442258,0.04314863694019656,-0.0739199331702129,0.07870519253256258,-0.011621209894474863
LPB,0.03431542590458855,0.10440048053117351,-0.013267708483185047,-0.05778794694735466,-0.03168986665732829,0.03201006868014245
LSS,0.0552000837623439,0.06457088985096698,-0.04271264376972362,0.07184277108590782,0.03415178507473005,-0.05064620133672649
MBB,0.05836334579499315,0.062339407332377125,0.014614464094326762,-0.029261342098690704,-0.018449408668791432,0.08049441931061203
MCH,0.06296473363304775,0.024065066801320565,0.06146590559311202,-0.07000332928814802,-0.03216577271809212,0.05145174564947635
MHC,0.05419785168504723,0.06828258729690678,-0.0015497777067554812,-0.04993570028263766,0.019030161058638837,-0.10388217064131808
MIG,0.05412209918924951,-0.006535847700321719,0.1131214714159152,0.10261174652681233,-0.07946310159637292,0.02682236259093995
MSB,0.06623086644643644,0.017289328686343267,-0.04192519179017624,-0.04353648150939245,-0.045176320259733095,0.009063807793488358
MSH,0.06535276541681372,0.0011873596262871537,0.015160306295589716,-0.02623451638591573,-0.09614349232079336,-0.042212328399098956
MSN,0.05488453296695128,-0.07278911491415394,-0.030023090591215138,-0.023942772933258877,-0.013518186221131306,0.030115166584649685
MWG,0.06275646413304369,-0.043577559786408364,0.06192674696232068,0.018911567755544895,0.013110085080747692,-0.018226236028639566
NAB,0.021402771846514207,0.12093422698769657,0.025118423333238778,-0.013205810060737363,-0.01520754555531942,-0.03928304008139598
NAF,0.05995064404771448,0.0601721302647015,-0.05799072863110006,-0.017132531100100823,-0.015463753303267635,-0.044033058005907164
NAV,0.05829810657183504,-0.040538733288442506,-0.030096156096519725,-0.09633956428458015,-0.0767232394845418,0.029174647164224174
NBB,0.06058233363759793,0.04621204761991286,-0.0287648504259329,-0.08745782581291968,0.0600496307615019,-0.04943671908675759
