PC,Symbol,Loading,AbsLoading,Direction,Sector
PC9,CTG,0.10664129598429058,0.10664129598429058,Positive,Unknown
PC10,OPC,-0.21508485009172312,0.21508485009172312,Negative,Unknown
PC10,GAS,0.206597591959449,0.206597591959449,Positive,Unknown
PC10,HAG,-0.1793570529916515,0.1793570529916515,Negative,Unknown
PC10,VFG,0.16331323493584568,0.16331323493584568,Positive,Unknown
PC10,VSC,0.16177835911499416,0.16177835911499416,Positive,Unknown
PC10,CLC,0.1605555980411291,0.1605555980411291,Positive,Unknown
PC10,PAC,0.15629602316781083,0.15629602316781083,Positive,Unknown
PC10,CDC,-0.14743993608808073,0.14743993608808073,Negative,Unknown
PC10,BSR,0.1458549490278776,0.1458549490278776,Positive,Unknown
PC10,CTG,0.13863374741441062,0.13863374741441062,Positive,Unknown
PC10,VNM,0.13612305745373204,0.13612305745373204,Positive,Unknown
PC10,HSL,-0.13552050164331353,0.13552050164331353,Negative,Unknown
PC10,VSH,0.13260088134860526,0.13260088134860526,Positive,Unknown
PC10,DRL,-0.12344604643225533,0.12344604643225533,Negative,Unknown
PC10,AAM,-0.11995941985461972,0.11995941985461972,Negative,Unknown
PC10,VRE,0.11895925930359,0.11895925930359,Positive,Unknown
PC10,REE,0.11860290318853144,0.11860290318853144,Positive,Unknown
PC10,HDC,-0.11729871671272493,0.11729871671272493,Negative,Unknown
PC10,PNJ,0.1135216261692146,0.1135216261692146,Positive,Unknown
PC10,OGC,-0.11086316568133545,0.11086316568133545,Negative,Unknown
