,coef,std_err,t,pvalue
HTG.L1,-9.848918969378971,7.8134585494954525,-1.26050697101541,0.2083664131815949
HTI.L1,-6.89498455618071,2.9360685776208255,-2.3483731302243287,0.019438272308857567
HTL.L1,3.879299873927209,5.7731256283905354,0.6719583330821612,0.5020747525213949
HTN.L1,-7.592327757396937,17.15182253680876,-0.44265428592812117,0.6583023414563314
HUB.L1,-5.212158304373382,8.348103569830629,-0.6243523766535074,0.5328224247214921
HVH.L1,-11.222640031013206,10.517821990810637,-1.067011786358275,0.28673715367687713
HVN.L1,6.916994563218964,8.050970090429942,0.8591504483964092,0.39087370409696887
HVX.L1,7.205212715344153,11.063240678826045,0.651275058051862,0.5153167800723095
ICT.L1,-12.144043823504838,8.617073795343346,-1.4093002000362884,0.15967678552959438
IJC.L1,-1.352646849179422,11.253223208596404,-0.12020083704961321,0.9043963265036598
ILB.L1,3.5384751317395793,3.625956665371908,0.9758735302967676,0.329833400686497
IMP.L1,23.11016771817696,14.473189381619402,1.5967570871093768,0.11126552027875539
ITC.L1,-2.722711546010224,8.46112076914645,-0.32179088566358904,0.7478124163243542
ITD.L1,1.9509622133392899,4.809162927821333,0.4056760485391005,0.6852403936852849
JVC.L1,-15.743553895138998,12.197462607777485,-1.2907236858508928,0.19769223403950842
KBC.L1,9.746552729166936,9.819297844753232,0.9925916173705673,0.3216275521614383
KDC.L1,6.366758052764798,4.502861742376777,1.4139359405257215,0.15831211865509612
KHG.L1,-22.87494020970638,15.409692233892606,-1.4844514648640712,0.13863230108864327
KHP.L1,15.912155742046522,9.668721578260293,1.6457352312041258,0.10075893944809076
KMR.L1,10.788922285840918,14.116237506674485,0.7642916379622874,0.4452330747379205
KOS.L1,-5.056584394663748,5.30702860839304,-0.952808957288601,0.3413758953341587
KSB.L1,-6.926082511521045,15.017730320720245,-0.4611936932949847,0.644959830428186
LBM.L1,-14.202834846771381,9.860861012699102,-1.4403240070497454,0.1507124485313429
LCG.L1,0.6698933285274329,11.069615322968058,0.0605164054018651,0.9517805440841098
LDG.L1,-31.30372390447637,23.052093456909898,-1.3579557953376697,0.17539434996673287
LGL.L1,15.290996024242126,13.88588301392841,1.1011900365935894,0.27160690092100165
LHG.L1,-3.1303923179927295,12.883812176483879,-0.24297096815075156,0.8081770326466879
LIX.L1,-4.717485147330152,13.30268222943183,-0.3546266133376351,0.723093136806042
LPB.L1,-0.9299688582651862,6.203611058469541,-0.14990766659936508,0.8809279452667723
LSS.L1,4.683990309284177,8.585278682162436,0.545583956292073,0.5857161298511574
MBB.L1,-0.9505719820850231,11.553694931652114,-0.08227428434871238,0.9344778858133965
MCH.L1,0.4553513725271827,4.852652296823079,0.09383556551646836,0.9252960433272097
MHC.L1,-12.48161270423391,11.36304768098231,-1.0984388215780947,0.27280410867545846
MIG.L1,-2.7341700427051308,6.989530868054315,-0.3911807665378042,0.6959130465568719
MSB.L1,13.476525854237439,10.13818394794264,1.3292840141228899,0.18466153352770875
MSH.L1,1.264113289767323,8.428626279092667,0.14997856683988647,0.8808720511446668
MSN.L1,24.69276590900995,11.713921047920364,2.107984662692753,0.03577697047413919
MWG.L1,0.5930325041179998,11.219618154892245,0.05285674574044319,0.957877647247128
NAB.L1,0.06161752015300692,11.335660570091509,0.005435723817946809,0.9956661863926783
NAF.L1,-5.708874339364549,11.219338313309,-0.5088423381076196,0.6111987005064765
NAV.L1,-5.936900921686297,5.385372896879872,-1.1024122257394589,0.27107621911935975
