,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
GVR,0.06970475244087423,0.026282853472222745,-0.004333986566211521,-0.022113087730776092,-0.002365348812551282,0.03564402529611658,-0.011079867192789371,-0.003732575712286897,0.0066062420310966955,0.028427493362756195,-0.03935044932326863
HAG,0.0415478749631176,0.03706216780853109,0.06088856109225485,-0.10612230732342137,0.10409013200334115,0.16183502943440425,0.04266858313896664,-0.07250451737125495,0.05102145169221498,-0.17935705299165164,-0.02303207206893423
HAH,0.05059948932057003,0.015060710139532283,0.13703938957367406,0.06372404571659991,-0.11084642568734074,-0.008789904727338592,-0.0427387691942349,0.04199163693044733,0.008003759288164413,0.021309248254046842,-0.0274226121643538
HAP,0.0673500472795938,-0.023319417138378647,0.059711049040877796,0.033580747822743985,0.025717024175739553,-0.019931709287355295,0.014751407730669418,-0.05038966252764825,0.01132102054841167,-0.015216501677528084,-0.001798890023925353
HAR,0.06684246390797419,-0.015491251580599984,0.006334741497596535,0.06642657734227982,-0.04444065402249452,0.026687897872134804,0.03953927930733002,-0.052250089759120856,0.09201226438077895,-0.04193225958285468,0.011640925036068613
HAX,0.062321045157016655,0.0067670309665331585,-0.07612646945668942,-0.022230361260293617,0.12221055441119502,0.04537467019095531,-0.03151306455517607,0.00821039884799376,-0.04697729421473116,-0.052096545534275646,0.018566092185016727
HCD,0.06299110577862947,0.042727222574603034,-0.04517149910121997,-0.05945849726086128,-0.040273039580200835,0.0012235348435450006,0.018565449538040426,0.025077541017883852,0.025375495217306473,0.04416193619861695,-0.00693246219570316
HCM,0.048165831649060666,0.05960031656102276,-0.08954426402819288,-0.07731968304982476,0.04760512597056383,0.032620289527604936,0.07830205003505995,-0.10770010333071896,-0.03118808238728727,0.07913251604068429,0.039833762031307215
HDB,0.03583772896746838,0.09832790272281788,0.0315946230548784,-0.038371261514502986,-0.023340243452448232,0.11208354828442627,0.07855782714867136,-0.04308409005447764,0.01899632083769496,0.05581974739398306,0.04176828447465556
HDC,0.0649800136754372,0.022787605118168873,0.017839767015523995,0.032077335966774215,0.050005569317047,-0.033302335832478366,-0.02622633351406017,-0.059474555637778634,0.060449101951686575,-0.11729871671272481,0.04475639861876905
HDG,0.06625282721769966,-0.014209982325792177,0.011427511029626327,0.056985623818561856,0.04716870962786433,0.05481110793422031,-0.03874245077987813,-0.08431361227617762,-0.08548111155659761,-0.044285255059442974,-0.05253918628385577
HHP,0.03608286531948083,0.08624160752324153,-0.0716002303183587,0.054811609129282485,-0.0008144192356923709,-0.05456837563076311,0.02027465029310221,0.062310822274502735,-0.015548245100589041,0.032022610186698,-0.10358471487052934
HHS,0.06395704850682968,0.048519159673900296,-0.01905237021330918,-0.0632759041198005,0.008467234402355542,-0.0036229795728156575,0.008707710450728556,-0.014221232011094233,-0.017480059037231797,0.018988533841449683,-0.001735024703048588
HHV,0.053206745645040396,0.07904336792139714,-0.05410980793951156,0.0020839117243306115,-0.008882397953774839,0.013591074315684777,0.0015503763814607248,0.02102544178431063,-0.021506339080674303,-0.01313872597547984,0.07304133049824427
HII,0.06911253503891772,-0.019956162296690276,0.045294614797742466,0.008666474051308912,-0.007293367087252767,-0.004954568399882557,0.062439989700458984,-0.009232556887266865,0.03894678101523723,-0.012964273596067919,-0.012600836771047928
HMC,0.0650325003178037,-0.041155173060371426,0.0556372797144191,-0.007035987150713199,-0.042335890728286155,0.03640237762423117,0.04266007957191486,0.004273755816882155,-0.002484106289451316,0.03852974109954806,0.006274735373419891
