,PC1,PC2,PC3,PC4
DXV,0.06569106661159162,-0.0382142235745512,-0.032045314506177196,-0.04269107383777141
EIB,0.05991572329323248,-0.03300036833198651,0.012068185612294646,-0.0688414482473506
ELC,0.024287652133671827,0.1132017460766271,0.045200011828565846,-0.045074338266110424
EVE,0.029606447793450962,0.06519978641804892,-0.07141538787579961,0.1492165182683828
EVF,0.047271551630879614,0.07921813799572737,0.043369170238164084,-0.10280400612541425
EVG,0.0679905968518429,0.008879803208652856,-0.0015577083079640515,0.0474691806792452
FCM,0.06786925262841965,0.01701066711901995,-0.020382163949601174,0.029110023085370067
FCN,0.0631967007330457,0.04355207016665106,-0.026082815337262897,0.07790252278573565
FIR,-0.02467122106374581,-0.09489576114633316,-0.07496670498998499,0.12277632466830707
FIT,0.06826940080067602,-0.015963637464230733,-0.013233731967130293,0.06724331672601006
FMC,0.0619814999820783,0.02263742506461158,0.061267518628974484,0.06727955647692958
FPT,-0.005871199694992362,0.10883253490629974,0.10692869993218512,0.012520410881136024
FRT,0.006790917793075045,0.09271666811250995,0.13363058881984474,-0.0413541286196977
FTS,0.0489780209108902,0.08699942741872307,-0.008033335922645789,-0.05333583327338204
GAS,0.02751870316994975,-0.06887576938946087,0.02789316317986327,-0.044921430237281575
GDT,0.05526063596693589,-0.07645340748074952,0.0096279174669048,0.03950462392731671
GEE,0.06494176535715276,0.01880613585907559,0.01035066318443039,-0.050259139942447836
GEX,0.06502378857543589,0.046501746609396065,0.021242205065167302,0.0027940369324931337
GMD,0.027585716533258756,0.08107448074469616,0.13358003467610075,-0.043446489576555974
GSP,0.05102044056091704,0.07876796271424166,-0.04045874059761121,-0.012506809431536082
GTA,0.051879370458676355,0.03225784947732369,0.028285500130385173,0.0640352248205569
GVR,0.06970475244087437,0.026282853472222856,-0.004333986564015324,-0.022113087722011846
HAG,0.041547874963117674,0.03706216780853076,0.06088856109115523,-0.10612230731699729
HAH,0.05059948932057006,0.015060710139531818,0.13703938957109132,0.06372404569211629
HAP,0.06735004727959386,-0.023319417138378862,0.059711049041333446,0.033580747819995906
HAR,0.06684246390797427,-0.015491251580600171,0.00633474149357714,0.06642657730983557
HAX,0.06232104515701674,0.006767030966533459,-0.07612646945587906,-0.02223036124216052
HCD,0.06299110577862957,0.0427272225746032,-0.04517149910205775,-0.0594584972887888
HCM,0.048165831649060645,0.05960031656102319,-0.0895442640262955,-0.07731968304033549
HDB,0.035837728967468424,0.09832790272281798,0.031594623057601634,-0.038371261494316924
HDC,0.06498001367543724,0.022787605118168547,0.01783976700995604,0.03207733592010408
HDG,0.06625282721769969,-0.014209982325792313,0.011427511029357015,0.056985623817329044
HHP,0.03608286531948084,0.08624160752324198,-0.07160023031738759,0.05481160913571742
HHS,0.0639570485068297,0.04851915967390043,-0.0190523702137948,-0.06327590413193233
HHV,0.05320674564504039,0.07904336792139731,-0.05410980794043002,0.002083911726406194
HII,0.06911253503891773,-0.019956162296690377,0.045294614797122934,0.008666474040066303
HMC,0.06503250031780371,-0.04115517306037159,0.055637279715152026,-0.007035987148268483
HNA,-0.04230523457259606,0.06348946071842539,0.09866120370790635,-0.0017121429762075211
HPG,0.058758963411444945,0.06516129589722651,-0.041177909144388944,-0.0037043603735376243
HPX,0.05830120262159515,-0.06265558106709672,0.0401404980157047,-0.0558579003424757
HQC,0.06488887983716672,0.017777925357507874,-0.037208257187116414,0.07180968986131775
HSG,0.055393384122358454,0.07027439010549585,-0.056422908078927504,-0.0539196911558931
