Symbol,n_outliers,min_val,max_val,mean_val
DCM,42,25200.0,35500.0,32527.380952380954
DGC,42,73100.0,113300.0,98230.95238095238
DHM,42,6540.0,8000.0,7277.142857142857
DIG,42,14200.0,21050.0,18184.52380952381
DLG,42,1790.0,2260.0,2036.904761904762
DMC,42,53800.0,71000.0,64695.23809523809
DPG,42,26129.0,32939.8,30454.311904761907
DPR,42,34650.0,52500.0,43076.19047619047
CKG,42,13088.22,20500.0,18000.27119047619
CIG,42,6900.0,9200.0,7942.142857142857
DRL,42,54710.0,59000.0,57688.72619047619
BAF,42,27950.0,35100.0,32692.85714285714
ABS,42,3290.0,4700.0,4025.714285714286
ABT,42,38700.0,49700.0,44508.94761904762
ACL,42,9000.0,11700.0,10536.666666666666
ADS,42,7050.0,9590.0,8602.142857142857
AFX,42,6400.0,8000.0,7242.857142857143
AGG,42,14950.0,17900.0,16494.04761904762
ANV,42,12400.0,17600.0,16055.952380952382
APH,42,5910.0,7270.0,6849.761904761905
ASP,42,4140.0,5120.0,4915.952380952381
AST,42,48550.0,57700.0,55175.0
BCE,42,9850.0,10650.0,10275.714285714286
CCL,42,5690.0,8350.0,7202.380952380952
BCG,42,2850.0,5760.0,3717.6190476190477
BCM,42,52000.0,81800.0,69159.52380952382
BFC,42,34500.0,43500.0,40525.0
BIC,42,17967.5,21076.2,20010.761904761905
BID,42,32450.0,41400.0,38046.42857142857
BKG,42,2420.0,3270.0,3002.3809523809523
BRC,42,12200.0,14350.0,13752.380952380952
BTP,42,10900.0,12400.0,11938.095238095239
BVH,42,39100.0,57700.0,50027.380952380954
C47,42,5600.0,7800.0,6771.666666666667
DRC,42,13487.9,21072.5,17983.895238095236
YEG,42,10400.0,16600.0,13572.619047619048
FRT,42,99280.0,146400.0,131182.85714285713
DXS,42,5320.0,7600.0,6742.142857142857
DTA,42,3980.0,5660.0,4669.047619047619
FCN,42,11150.0,15550.0,13997.619047619048
FCM,42,3690.0,4830.0,4039.5238095238096
FTS,42,35500.0,51700.0,45659.52380952381
DXG,42,12300.0,16950.0,15419.047619047618
EVF,42,7940.0,11150.0,9817.619047619048
HPX,41,3460.0,4660.0,4277.804878048781
VGC,41,36650.0,52200.0,45980.48780487805
EIB,41,15600.0,22250.0,19480.48780487805
SIP,41,48292.67,79368.7,67833.55951219512
SJD,41,13650.0,14850.0,14536.585365853658
KHG,41,4900.0,6010.0,5456.341463414634
SHA,41,3676.2,4114.3,3961.9048780487806
CHP,41,27462.7,34435.9,30812.102439024387
KDH,41,22045.5,30681.8,27445.67804878049
SMB,41,38300.0,42400.0,41295.12195121951
CDC,41,13269.8,16666.7,14493.848780487806
VFG,41,60000.0,73400.0,68643.32195121952
HAR,41,2830.0,3680.0,3318.048780487805
SHB,41,9920.0,13200.0,11697.560975609756
SGR,41,24150.0,40000.0,33145.12195121951
SGT,41,15700.0,20250.0,18385.365853658535
HAP,41,4400.0,5500.0,4868.048780487805
AGR,41,13650.0,18700.0,16785.365853658535
FMC,41,33300.0,49450.0,42897.560975609755
BMC,41,18600.0,27450.0,22559.756097560974
GEX,41,20450.0,26986.9,23958.148780487805
APG,41,8410.0,12500.0,10207.073170731708
CMX,41,6070.0,8350.0,7555.8536585365855
HSL,41,3330.0,4260.0,3982.439024390244
SSI,41,20600.0,27150.0,25001.219512195123
ASM,41,5354.5,7609.1,6716.851219512196
VHM,41,42050.0,62300.0,51125.60975609756
HSG,41,12500.0,19050.0,16265.88780487805
