,PC1,PC2
VCA,0.054022644700589574,-0.07495298667810707
VCB,0.0037926387372162053,0.11200004129877279
VCI,0.06039178624150669,0.0576679626498109
VDS,0.054187767544518865,0.0809649006181801
VFG,0.045928724268084274,0.03385003856163103
VGC,0.041742564002650896,0.04656504659369947
VHM,0.06238090615259774,-0.03976401634121502
VIB,0.06273357406406775,0.04794665164971748
VIC,0.05702160594605908,-0.062474297269592104
VID,0.06281857285519357,-0.05423157076556138
VIP,-0.002482921772511323,0.11346211882705669
VIX,0.03899885215477066,0.10311535063093785
VJC,0.05317432331651853,-0.057413154975900826
VMD,0.05621174893811034,-0.034545978069142426
VND,0.06942972052185879,0.015277915973810266
VNE,0.05652983614337692,-0.03366207371152125
VNG,0.0603869366890753,-0.03735694889829673
VNL,0.05661283053444995,0.031217316152055426
VNM,0.020722350005542668,-0.02222342520849412
VOS,0.06616967468870201,-0.014742913696062369
VPB,0.055283647225644744,0.05367513135259953
VPD,-0.055759561119467796,0.03180742120397973
VPG,0.06721810441482823,-0.026628959756811194
VPI,0.04288217744981945,-0.06869560857775733
VRC,0.06807935504883948,-0.014782584236615257
VRE,0.04631551499314015,-0.0390345383233243
VSC,0.06164799846756652,-0.036923727632316425
VSH,-0.017268334383411795,0.09334444328176582
VTB,0.03063842654672567,-0.07108335577475568
VTO,0.05496916636043193,0.05719644052951626
VTP,0.05572219767713935,0.05361920223747324
YBM,0.05506217039000265,0.07237328793244664
YEG,0.06641319829819835,0.009362991412089908
